business_name,category,area,phone,whatsapp,instagram,website,cid,rating,amenities,desc_len,auto_desc
Cruz Roja,services,Bribri,Y,N,N,Y,Y,4.8,0,64,
Farmacia Quiribri Cahuita,shopping,Cahuita,Y,N,N,N,Y,2.8,0,90,
Fusión Restaurante,restaurant,Sixaola,Y,Y,N,N,Y,N,0,75,
Gandoca Tours,tour_company,Gandoca,Y,Y,Y,N,Y,N,0,89,
Info Boutique,shopping,Cahuita,Y,N,N,N,Y,3.6,0,83,
La Fundación Cahuita Playing for Change,services,Cahuita,Y,Y,Y,N,Y,N,0,96,
Mayela Public Parking,services,Sixaola,Y,N,N,N,Y,4.1,0,88,
Mulata,shopping,Cahuita,Y,Y,Y,N,Y,5.0,0,71,
Nature Observatorio,tour_company,Manzanillo,Y,Y,Y,Y,Y,N,0,101,
OIJ,services,Bribri,Y,N,N,Y,Y,4.5,0,58,
Redfrogteam Guardianes de la Naturaleza,tour_company,Bribri,Y,Y,N,N,Y,4.9,0,113,
Roberto's Restaurant and Tours,restaurant,Cahuita,N,N,N,N,Y,4.5,0,111,
Sloth Sanctuary,tour_company,Cahuita,Y,N,Y,N,Y,4.3,0,91,
Sobre las Olas by Gondwana,restaurant,Cahuita,Y,N,N,N,Y,4.2,0,102,
Soda Kawe,restaurant,Cahuita,Y,N,N,N,Y,4.4,0,89,
TKD Caribe,services,Cahuita,Y,N,N,N,N,N,0,67,
Terminal de Buses Sixaola,services,Sixaola,N,N,N,N,Y,3.6,0,82,
Tourist Police,services,Cahuita,N,N,N,N,Y,4.4,0,71,
Apetito Express,restaurant,Playa Negra,Y,N,N,N,Y,4.5,0,90,Y
Puerto Viejo de Talamanca,restaurant,Playa Negra,Y,N,N,Y,N,N,0,62,Y
El Ranchón,restaurant,Playa Negra,Y,N,N,N,Y,4.1,0,90,Y
Playa Chiquita Paradise,restaurant,Cocles,Y,N,N,Y,Y,N,0,57,Y
Escuela Këköldi,services,Punta Uva,N,N,N,N,Y,4.7,0,48,
policía,services,Playa Negra,Y,N,N,N,Y,4.0,0,40,
Escuela Hone Creek,services,Playa Negra,Y,N,N,N,Y,3.7,0,51,
Escuela Patiño,services,Playa Negra,N,N,N,N,Y,3.7,0,57,
Taller Gabriel,shopping,Puerto Viejo,Y,N,N,Y,Y,N,0,61,Y
Playa Cocles,tour_company,Playa Negra,N,N,N,N,Y,4.7,0,64,
